timestamp,vehicle_id,route_id,warehouse,cargo_weight_kg,max_capacity_kg,fuel_consumed_liters,idle_time_hours,distance_km,delivery_status,sla_met,shipment_id
2026-07-01 08:30:00,TRK-001,Rute-A,Gudang West (Tangerang),280.0,1400,11.4,0.4,10.0,DELIVERED,YES,SHP-20260701-00000
2026-07-02 11:41:00,TRK-004,Rute-F,Cikarang Industrial Hub,280.9,1200,11.84,0.6,10.6,IN_TRANSIT,YES,SHP-20260702-00001
2026-07-03 14:52:00,TRK-007,Rute-K,Bogor Transit Hub,281.8,1200,12.28,0.7,11.2,DELAYED,NO,SHP-20260703-00002
2026-07-04 18:03:00,TRK-010,Rute-P,Depok Hub,282.6,1200,12.72,0.9,11.9,LOADED,YES,SHP-20260704-00003
2026-07-05 11:14:00,TRK-013,Rute-C,Bekasi Logistics Hub,283.5,1200,13.16,1.0,12.5,RETURNING,NO,SHP-20260705-00004
2026-07-06 14:25:00,TRK-016,Rute-H,Petamburan Hub,284.4,1400,13.6,1.2,13.1,DELIVERED,YES,SHP-20260706-00005
2026-07-07 16:36:00,TRK-019,Rute-M,Grogol Hub (Jakbar),285.3,1200,14.04,1.4,13.7,IN_TRANSIT,YES,SHP-20260707-00006
2026-07-08 09:47:00,TRK-022,Rute-R,Central Hub (Jakarta),286.2,1200,14.48,1.5,14.3,DELAYED,NO,SHP-20260708-00007
2026-07-09 12:58:00,TRK-025,Rute-E,Gudang West (Tangerang),287.0,1200,14.92,1.7,15.0,LOADED,YES,SHP-20260709-00008
2026-07-10 16:09:00,TRK-028,Rute-J,Cikarang Industrial Hub,287.9,1200,15.36,1.8,15.6,RETURNING,NO,SHP-20260710-00009
2026-07-11 09:20:00,TRK-031,Rute-O,Bogor Transit Hub,288.8,1400,15.8,2.0,16.2,DELIVERED,YES,SHP-20260711-00010
2026-07-12 11:31:00,TRK-034,Rute-B,Depok Hub,289.7,1200,16.24,2.2,16.8,IN_TRANSIT,YES,SHP-20260712-00011
2026-07-13 14:42:00,TRK-037,Rute-G,Bekasi Logistics Hub,290.6,1200,16.68,2.3,17.4,DELAYED,NO,SHP-20260713-00012
2026-07-14 17:53:00,TRK-040,Rute-L,Petamburan Hub,291.4,1200,17.12,2.5,18.1,LOADED,YES,SHP-20260714-00013
2026-07-15 11:04:00,TRK-043,Rute-Q,Grogol Hub (Jakbar),292.3,1200,17.56,2.6,18.7,RETURNING,NO,SHP-20260715-00014
2026-07-16 14:15:00,TRK-046,Rute-D,Central Hub (Jakarta),293.2,1400,18.0,2.8,19.3,DELIVERED,YES,SHP-20260716-00015
2026-07-17 17:26:00,TRK-049,Rute-I,Gudang West (Tangerang),294.1,1200,18.44,0.4,19.9,IN_TRANSIT,YES,SHP-20260717-00016
2026-07-18 09:37:00,TRK-052,Rute-N,Cikarang Industrial Hub,295.0,1200,18.88,0.6,20.5,DELAYED,NO,SHP-20260718-00017
2026-07-19 12:48:00,TRK-055,Rute-A,Bogor Transit Hub,295.8,1200,19.32,0.7,21.2,LOADED,YES,SHP-20260719-00018
2026-07-20 15:59:00,TRK-058,Rute-F,Depok Hub,296.7,1200,19.76,0.9,21.8,RETURNING,NO,SHP-20260720-00019
2026-07-21 09:10:00,TRK-061,Rute-K,Bekasi Logistics Hub,297.6,1400,20.2,1.0,22.4,DELIVERED,YES,SHP-20260721-00020
2026-07-22 12:21:00,TRK-064,Rute-P,Petamburan Hub,298.5,1200,20.64,1.2,23.0,IN_TRANSIT,YES,SHP-20260722-00021
2026-07-23 14:32:00,TRK-067,Rute-C,Grogol Hub (Jakbar),299.4,1200,21.08,1.4,23.6,DELAYED,NO,SHP-20260723-00022
2026-07-24 17:43:00,TRK-070,Rute-H,Central Hub (Jakarta),300.2,1200,21.52,1.5,24.3,LOADED,YES,SHP-20260724-00023
2026-07-25 10:54:00,TRK-073,Rute-M,Gudang West (Tangerang),301.1,1200,21.96,1.7,24.9,RETURNING,NO,SHP-20260725-00024
2026-07-26 14:05:00,TRK-076,Rute-R,Cikarang Industrial Hub,302.0,1400,22.4,1.8,25.5,DELIVERED,YES,SHP-20260726-00025
2026-07-27 17:16:00,TRK-079,Rute-E,Bogor Transit Hub,302.9,1200,22.84,2.0,26.1,IN_TRANSIT,YES,SHP-20260727-00026
