timestamp,vehicle_id,route_id,warehouse,cargo_weight_kg,max_capacity_kg,fuel_consumed_liters,idle_time_hours,distance_km,delivery_status,sla_met
2026-07-01 06:00:00,TRK-001,Rute-A,Gudang West (Tangerang),650.0,1200,14.5,0.6,18.0,DELIVERED,YES
2026-07-02 09:07:00,TRK-002,Rute-B,Central Hub (Jakarta),651.1,1200,14.92,0.8,18.8,IN_TRANSIT,YES
2026-07-03 12:14:00,TRK-003,Rute-C,Grogol Hub (Jakbar),652.2,1200,15.34,1.0,19.6,IDLE_DOCK,NO
2026-07-04 15:21:00,TRK-004,Rute-D,Petamburan Hub,653.3,1200,15.76,1.1,20.4,LOADED,YES
2026-07-05 06:28:00,TRK-005,Rute-E,Bekasi Logistics Hub,654.4,1200,16.18,1.3,21.2,DELIVERED,YES
2026-07-06 09:35:00,TRK-006,Rute-F,Depok Hub,655.5,1200,16.6,1.5,22.0,IN_TRANSIT,YES
2026-07-07 12:42:00,TRK-007,Rute-G,Bogor Transit Hub,656.6,1200,17.02,1.7,22.8,IDLE_DOCK,NO
2026-07-08 15:49:00,TRK-008,Rute-H,Cikarang Industrial Hub,657.7,1200,17.44,1.9,23.6,LOADED,YES
2026-07-09 06:56:00,TRK-009,Rute-I,Gudang West (Tangerang),658.8,1200,17.86,2.0,24.4,DELIVERED,YES
2026-07-10 09:03:00,TRK-010,Rute-J,Central Hub (Jakarta),659.9,1200,18.28,2.2,25.2,IN_TRANSIT,YES
2026-07-11 12:10:00,TRK-011,Rute-K,Grogol Hub (Jakbar),661.0,1200,18.7,2.4,26.0,IDLE_DOCK,NO
2026-07-12 15:17:00,TRK-012,Rute-L,Petamburan Hub,662.1,1200,19.12,0.6,26.8,LOADED,YES
2026-07-13 06:24:00,TRK-013,Rute-M,Bekasi Logistics Hub,663.2,1200,19.54,0.8,27.6,DELIVERED,YES
2026-07-14 09:31:00,TRK-014,Rute-N,Depok Hub,664.3,1200,19.96,1.0,28.4,IN_TRANSIT,YES
2026-07-15 12:38:00,TRK-015,Rute-O,Bogor Transit Hub,665.4,1200,20.38,1.1,29.2,IDLE_DOCK,NO
2026-07-16 15:45:00,TRK-016,Rute-A,Cikarang Industrial Hub,666.5,1200,20.8,1.3,30.0,LOADED,YES
2026-07-17 06:52:00,TRK-017,Rute-B,Gudang West (Tangerang),667.6,1200,21.22,1.5,30.8,DELIVERED,YES
2026-07-18 09:59:00,TRK-018,Rute-C,Central Hub (Jakarta),668.7,1200,21.64,1.7,31.6,IN_TRANSIT,YES
2026-07-19 12:06:00,TRK-019,Rute-D,Grogol Hub (Jakbar),669.8,1200,22.06,1.9,32.4,IDLE_DOCK,NO
2026-07-20 15:13:00,TRK-020,Rute-E,Petamburan Hub,670.9,1200,22.48,2.0,33.2,LOADED,YES
2026-07-21 06:20:00,TRK-021,Rute-F,Bekasi Logistics Hub,672.0,1200,22.9,2.2,34.0,DELIVERED,YES
