timestamp,vehicle_id,route_id,warehouse,cargo_weight_kg,max_capacity_kg,fuel_consumed_liters,idle_time_hours,distance_km,delivery_status,sla_met
2026-07-01 06:00:00,TRK-001,Rute-A,Gudang West (Tangerang),500.0,1200,13.2,0.5,15.0,DELIVERED,YES
2026-07-02 08:05:00,TRK-002,Rute-B,Central Hub (Jakarta),500.9,1200,13.57,0.7,15.8,IN_TRANSIT,YES
2026-07-03 10:10:00,TRK-003,Rute-C,Grogol Hub (Jakbar),501.9,1200,13.94,0.9,16.5,IDLE_DOCK,NO
2026-07-04 12:15:00,TRK-004,Rute-D,Petamburan Hub,502.9,1200,14.31,1.1,17.2,LOADED,YES
2026-07-05 14:20:00,TRK-005,Rute-E,Bekasi Logistics Hub,503.8,1200,14.68,1.3,18.0,DELIVERED,YES
2026-07-06 16:25:00,TRK-006,Rute-F,Depok Hub,504.8,1200,15.05,1.4,18.8,IN_TRANSIT,YES
2026-07-07 06:30:00,TRK-007,Rute-G,Bogor Transit Hub,505.7,1200,15.42,1.6,19.5,IDLE_DOCK,NO
2026-07-08 08:35:00,TRK-008,Rute-H,Cikarang Industrial Hub,506.6,1200,15.79,1.8,20.2,LOADED,YES
2026-07-09 10:40:00,TRK-009,Rute-I,Gudang West (Tangerang),507.6,1200,16.16,2.0,21.0,DELIVERED,YES
2026-07-10 12:45:00,TRK-010,Rute-J,Central Hub (Jakarta),508.6,1200,16.53,2.2,21.8,IN_TRANSIT,YES
2026-07-11 14:50:00,TRK-011,Rute-K,Grogol Hub (Jakbar),509.5,1200,16.9,2.4,22.5,IDLE_DOCK,NO
2026-07-12 16:55:00,TRK-012,Rute-L,Petamburan Hub,510.4,1200,17.27,2.6,23.2,LOADED,YES
2026-07-13 06:00:00,TRK-013,Rute-M,Bekasi Logistics Hub,511.4,1200,17.64,2.8,24.0,DELIVERED,YES
2026-07-14 08:05:00,TRK-014,Rute-N,Depok Hub,512.4,1200,18.01,3.0,24.8,IN_TRANSIT,YES
2026-07-15 10:10:00,TRK-015,Rute-O,Bogor Transit Hub,513.3,1200,18.38,0.5,25.5,IDLE_DOCK,NO
